City,State,Locations,OTHER_TYPE
Corona,California,"[1457144]","[12703765]"
Troy,Ohio,"[14443945]","[12701153]"
Warren,Ohio,"[1747697]","[12698585]"
Elyria,Ohio,"[1747716]","[12699361]"
Columbus,Ohio,"[1457141,1747529,11894545,12213262,13187633,13323477]","[12702424]"
Brea,California,"[11557606]","[12701012]"
Summerville,South Carolina,"[14515700]","[12701816]"
Ellensburg,Washington,"[5825959]","[12703687]"
Oswego,New York,"[1457244]","[12701298]"
North Myrtle Beach,South Carolina,"[14848419]","[12699811]"
Cortland,New York,"[1747630]","[12701020]"
Hemet,California,"[12669924]","[12702692]"
Franklin,Pennsylvania,"[1457171]","[12700276]"
Lexington,Kentucky,"[1747643,12635346]","[12699626]"
South Lake Tahoe,California,"[15091751]","[12700823]"
Sanford,Florida,"[11775279]","[12702144]"
Milwaukee,Wisconsin,"[1747672,13539703]","[12701287]"
Eufaula,Alabama,"[5825994]","[12699691]"
New Albany,Indiana,"[1747594]","[12701631]"
New Port Richey,Florida,"[14512910]","[12701789]"
Collinsville,Illinois,"[5978957]","[12704169]"
San Bernardino,California,"[5825909,15058791]","[12701396]"
Wilmington,North Carolina,"[1457290]","[12703240]"
Ithaca,New York,"[12795504]","[12700208]"
Lima,Ohio,"[1457219]","[12699376]"
Jamaica,New York,"[11200816]","[12702525]"
Fond Du Lac,Wisconsin,"[5826018]","[12703359]"
Casper,Wyoming,"[13014993]","[12703173]"
Chesterfield,Missouri,"[5826152]","[12701339]"
Portsmouth,Ohio,"[1747559]","[12705049]"
Richmond,Kentucky,"[12213391]","[12700653]"
Owensboro,Kentucky,"[1747524]","[12699060]"
Altoona,Wisconsin,"[5825973]","[12704659]"
Myrtle Beach,South Carolina,"[15676948]","[12699638]"
Chincoteague,Virginia,"[5826166]","[13141743]"
Newburgh,New York,"[1457238]","[12701713]"
Pullman,Washington,"[1457253]","[12702058]"
Kannapolis,North Carolina,"[12143397]","[12704938]"
Saginaw,Michigan,"[5826150]","[12699153]"
Janesville,Wisconsin,"[5825989]","[12698793]"
Walla Walla,Washington,"[5825965]","[12703401]"
Medford,Oregon,"[5826185]","[12699051]"
Asheville,North Carolina,"[5826199]","[12703327]"
Chino,California,"[14922635]","[12698526]"
North Adams,Massachusetts,"[1747631]","[12700970]"
Eagle Pass,Texas,"[1747729]","[12701027]"
Lagrange,Georgia,"[5825980]","[12701612]"
Victorville,California,"[12795627]","[12700992]"
Lancaster,Ohio,"[1747565]","[12702527]"
Kalamazoo,Michigan,"[14444018]","[12700622]"
Sterling,Colorado,"[5825940]","[12703312]"
Santa Clarita,California,"[1747649]","[12698661]"
Riverside,California,"[5826102]","[12699403]"
Glendale,California,"[14993388]","[12700941]"
Duluth,Georgia,"[5825918]","[12702846]"
Mount Pleasant,Michigan,"[5826036]","[12704037]"
Greensboro,North Carolina,"[1747602]","[12701106]"
Morehead City,North Carolina,"[15016503]","[12701627]"
Marion,North Carolina,"[5825933]","[12699972]"
Escanaba,Michigan,"[5826114]","[12702184]"
Rice Lake,Wisconsin,"[5826052]","[12704715]"
Wilson,North Carolina,"[1457291]","[12699336]"
Ormond Beach,Florida,"[13347608]","[12699145]"
Tarpon Springs,Florida,"[5826118]","[12698749]"
Leavenworth,Kansas,"[1747711]","[12701369]"
Plymouth,New Hampshire,"[3872756]","[12704637]"
Webster,New York,"[1457286]","[12699666]"
Keene,New Hampshire,"[1747535]","[12704857]"
Yakima,Washington,"[5825943]","[12699254]"
Laurinburg,North Carolina,"[1457215]","[12699714]"
Wenatchee,Washington,"[13347633]","[12701246]"
Dayton,Ohio,"[1457216,1747652]","[12703842]"
Palm Desert,California,"[1747699]","[12703298]"
Euless,Texas,"[11330367]","[12701355]"
Ellenville,New York,"[1457158]","[12703930]"
Cape Girardeau,Missouri,"[5826160]","[12702919]"
Southlake,Texas,"[11558249]","[12704310]"
Lumberton,North Carolina,"[15058506]","[12702625]"
Rio Grande City,Texas,"[1457258]","[12701475]"
Lee,Massachusetts,"[1747615]","[12701045]"
Covington,Georgia,"[5825906]","[12698608]"
Ontario,California,"[3872761]","[12702054]"
Dublin,Georgia,"[5826137]","[12704917]"
Syracuse,New York,"[1457295]","[12700988]"
Lincoln,Nebraska,"[1747710,15814444]","[12703203]"
Birmingham,Alabama,"[5826020,12143961]","[12700429]"
Marion,Indiana,"[5825932]","[12698800]"
Porterville,California,"[5826105]","[12699732]"
Riverview,Florida,"[15617239]","[12703389]"
Winslow,Maine,"[1457293]","[13139953]"
Wauwatosa,Wisconsin,"[1457227]","[13141325]"
Cleveland,Tennessee,"[5825978]","[12704417]"
Gorham,New Hampshire,"[1457183]","[12703936]"
Rochester,Minnesota,"[12117143,12902789]","[12699572]"
Kahului,Hawaii,"[15925290]","[12703860]"
Russellville,Alabama,"[5825991]","[12703056]"
Evansville,Indiana,"[1747607]","[12702271]"
Sevierville,Tennessee,"[5826170]","[12700313]"
Winona,Minnesota,"[5825975]","[12703490]"
Albany,New York,"[1457140]","[12703745]"
Albertville,Alabama,"[5826203]","[12702748]"
Klamath Falls,Oregon,"[13539677]","[12702620]"
Santa Monica,California,"[12922417]","[12702400]"
Montclair,California,"[12237361]","[12704865]"
Mount Sterling,Kentucky,"[1747628]","[12699473]"
Burlington,North Carolina,"[1747669]","[12703669]"
North Wilkesboro,North Carolina,"[5825947]","[12701883]"
Mission,Texas,"[12117297]","[12700713]"
Bozeman,Montana,"[14191385]","[12703083]"
Waite Park,Minnesota,"[5826113]","[12703569]"
Honolulu,Hawaii,"[11651792]","[12704182]"
Pearl City,Hawaii,"[14191389]","[12703462]"
Billings,Montana,"[12981523]","[12703912]"
Newark,Ohio,"[1747539]","[12699885]"
Wetumpka,Alabama,"[5826111]","[12703904]"
Enterprise,Alabama,"[1457161]","[12698538]"
Greenville,South Carolina,"[5825923,12508713]","[12701445]"
Kapolei,Hawaii,"[15058019]","[12700706]"
Astoria,Oregon,"[5825905]","[12700008]"
Brownsville,Texas,"[2833315]","[12704997]"
Temple,Texas,"[2069559]","[12702485]"
Monroe,North Carolina,"[1747578]","[12702538]"
Orange City,Florida,"[12335064]","[12703626]"
Terre Haute,Indiana,"[1747593]","[12699160]"
Kaneohe,Hawaii,"[1457204]","[12701280]"
Holland,Michigan,"[5825981]","[12700116]"
West Branch,Michigan,"[5826096]","[12704320]"
Brooklyn,New York,"[1747742,12903156,13539654,15016468]","[12703751]"
San Marcos,Texas,"[1747543]","[12698742]"
Roanoke Rapids,North Carolina,"[8558195]","[12702888]"
Apopka,Florida,"[13114564]","[12703246]"
Charlotte,North Carolina,"[1747668,2900606,15968122]","[12698692]"
Southbridge,Massachusetts,"[5826009]","[12704885]"
Georgetown,South Carolina,"[3872750]","[12700360]"
Grove City,Ohio,"[1747693]","[12703939]"
Ocoee,Florida,"[12415316]","[12701224]"
Matthews,North Carolina,"[13347620]","[12701624]"
Melbourne,Florida,"[5826173,13717858]","[12704538]"
Cullman,Alabama,"[5826067]","[12703425]"
Oscoda,Michigan,"[5826097]","[12699729]"
Alpena,Michigan,"[5826040]","[12702083]"
Batavia,New York,"[1457126]","[12700176]"
Saint Petersburg,Florida,"[5826055]","[12702397]"
Lincolnton,North Carolina,"[5825970]","[12702871]"
Laredo,Texas,"[1747638]","[12703529]"
Dunkirk,New York,"[1747685]","[12700607]"
Yuma,Arizona,"[12731510]","[12702079]"
Burbank,California,"[13322933]","[12699927]"
Augusta,Maine,"[13790691]","[12699339]"
Mililani,Hawaii,"[15400763]","[12700712]"
Akron,Ohio,"[1457117]","[12701167]"
Green Bay,Wisconsin,"[1747644]","[12698789]"
Owosso,Michigan,"[5826178]","[12705103]"
Cadillac,Michigan,"[5826158]","[12700595]"
San Marcos,California,"[13336906]","[12700311]"
Statesville,North Carolina,"[1457274]","[12702813]"
Alton,Illinois,"[5826086]","[12700754]"
Defiance,Ohio,"[1457147]","[12701101]"
Mansfield,Ohio,"[1747591]","[12701286]"
Middletown,New York,"[1747614]","[12703210]"
Kent,Ohio,"[1457206]","[13140618]"
Poughkeepsie,New York,"[1747552]","[12698653]"
Ashtabula,Ohio,"[14990798]","[12700007]"
Niagara Falls,New York,"[13114803]","[12703124]"
Forest Hills,New York,"[13861316]","[12698784]"
Port Clinton,Ohio,"[1457251]","[12701640]"
Cleveland,Ohio,"[14848403]","[12703919]"
Tillamook,Oregon,"[5825944]","[12700157]"
Geneva,New York,"[1457177]","[12702762]"
Troy,New York,"[2069560]","[12703067]"
Hilo,Hawaii,"[1457196]","[12699210]"
Watertown,New York,"[1747675]","[12702158]"
Fremont,Nebraska,"[1457173]","[12703024]"
Barstow,California,"[1747606]","[12700336]"
Saco,Maine,"[1457260]","[12699654]"
Lakeville,Minnesota,"[5826024]","[12703798]"
Altamonte Springs,Florida,"[11775208]","[12703329]"
Fayetteville,North Carolina,"[14443583]","[12704430]"
Carrollton,Georgia,"[5826011]","[12702171]"
Louisville,Kentucky,"[1747656,1747684,1747695,11894527,12728983]","[12700708]"
Athens,Georgia,"[5825911]","[12698930]"
Carson City,Nevada,"[5826104]","[12700342]"
Cypress,California,"[12635225]","[12703010]"
Clearwater,Florida,"[5826071,10768765]","[12704251]"
La Quinta,California,"[13539717]","[12700046]"
Port Orange,Florida,"[13291933]","[12700562]"
Worcester,Massachusetts,"[5826197]","[12698674]"
Garland,Texas,"[13477560]","[12699113]"
Lexington,Tennessee,"[5825930]","[12704773]"
Williamsville,New York,"[1457120]","[13139007]"
Westfield,New York,"[1747585]","[12702657]"
Lanai City,Hawaii,"[1457214]","[12704277]"
Albemarle,North Carolina,"[1747636]","[12700422]"
Stevens Point,Wisconsin,"[13014971]","[12702483]"
Childersburg,Alabama,"[5826094]","[12704168]"
Lorain,Ohio,"[1747600]","[12701456]"
Saint Louis,Missouri,"[5826164]","[12703472]"
Middlesboro,Kentucky,"[1457229]","[12704371]"
Hartsville,South Carolina,"[1747610]","[12701199]"
Clarksburg,West Virginia,"[1747705]","[12704588]"
Newtown,Connecticut,"[5826201]","[12700885]"
Fontana,California,"[15495218]","[12704603]"
Horseheads,New York,"[1457159]","[12703792]"
Ironwood,Michigan,"[5825966]","[12704025]"
Greenville,Michigan,"[5825924]","[12698711]"
Macedonia,Ohio,"[12903680]","[12700872]"
Cedartown,Georgia,"[5825904]","[12699603]"
Staten Island,New York,"[1457273,1747523]","[12703311]"
Lockport,New York,"[12335270]","[12699130]"
Lahaina,Hawaii,"[16048936]","[12704526]"
Orlando,Florida,"[5826030,5826098,11557414,11775185,12213188,12213195,12635301,15593698]","[12700643]"
Grand Island,Nebraska,"[12635285]","[12702113]"
Huntersville,North Carolina,"[1457200]","[12700785]"
Corbin,Kentucky,"[1457143]","[12704335]"
Lake Geneva,Wisconsin,"[1457213]","[12699218]"
Norwalk,Ohio,"[1747654]","[12699057]"
Overland,Missouri,"[5826206]","[13140687]"
Glendora,California,"[1457180]","[12704847]"
Mentor,Ohio,"[2069563]","[12701880]"
Jackson,Tennessee,"[5826207]","[12700210]"
Gardendale,Alabama,"[5826177]","[12699112]"
Denton,Texas,"[5826061]","[12700683]"
Auburn,Maine,"[12981821]","[12701172]"
Gillette,Wyoming,"[5826119]","[12700112]"
Fort Rucker,Alabama,"[1457170]","[12699279]"
Roseburg,Oregon,"[5826148]","[12702060]"
Montrose,Colorado,"[5825968]","[12701129]"
Paso Robles,California,"[12732019]","[12703965]"
Orange,Texas,"[1747665]","[12702547]"
Rancho Cucamonga,California,"[5825953]","[12700397]"
Cheyenne,Wyoming,"[5826157]","[12704089]"
Harlingen,Texas,"[1747635]","[12703518]"
Rome,New York,"[1747542]","[12699653]"
Bakersfield,California,"[5826129,16048931]","[12699014]"
Costa Mesa,California,"[13191424]","[12700519]"
Opelousas,Louisiana,"[5826145]","[12699728]"
Orangeburg,South Carolina,"[12669972]","[12702303]"
Coshocton,Ohio,"[2552769]","[12700185]"
Stockbridge,Georgia,"[13010413]","[12703895]"
Hopkinsville,Kentucky,"[1457198]","[12699123]"
Santa Paula,California,"[1457264]","[12699324]"
Kansas City,Kansas,"[1747750]","[12701114]"
Alhambra,California,"[5826181]","[12700837]"
Astoria,New York,"[2672575,11147821]","[12699341]"
Willmar,Minnesota,"[5826112]","[12700163]"
Victor,New York,"[12795583]","[12698668]"
Torrance,California,"[1457129,1457280]","[12700493]"
Strongsville,Ohio,"[15925049]","[12698500]"
Rialto,California,"[15091529]","[12700894]"
Columbus,Nebraska,"[1457142]","[12701674]"
Center Conway,New Hampshire,"[1747712]","[12703089]"
Austin,Texas,"[1457269,1747525,14990765,15016486,15925311]","[12700755]"
Irving,Texas,"[12268713]","[12703859]"
Petoskey,Michigan,"[5826050]","[12698569]"
Inglewood,California,"[13322920]","[12700703]"
Newnan,Georgia,"[5826125]","[12701551]"
Smyrna,Georgia,"[5825979]","[12700409]"
Owatonna,Minnesota,"[5825961]","[12702304]"
Lake Elsinore,California,"[12237617]","[12701455]"
Kingsford,Michigan,"[5826109]","[12699126]"
Canton,Ohio,"[14722843]","[12700262]"
Crisfield,Maryland,"[15424356]","[12702427]"
Jacksonville,North Carolina,"[15016439]","[12699620]"
Reno,Nevada,"[12922433,14819997]","[12700893]"
San Antonio,Texas,"[1747698,12508700,12903350,12922360,14191388,14813565]","[12704642]"
Wausau,Wisconsin,"[5826195]","[12703986]"
Dothan,Alabama,"[1457150]","[12700773]"
Madisonville,Kentucky,"[1457224]","[12700462]"
Boone,North Carolina,"[5826182]","[12698766]"
Fort Payne,Alabama,"[5826081]","[12698864]"
Pasadena,California,"[12730174,15593643]","[12699981]"
Fullerton,California,"[1747590]","[12702360]"
Bowling Green,Kentucky,"[1747707]","[12702669]"
Spartanburg,South Carolina,"[12728531]","[12699576]"
Selma,Alabama,"[5826076]","[12699493]"
Onalaska,Wisconsin,"[5825977]","[12703876]"
Thibodaux,Louisiana,"[5826019]","[12704316]"
Massena,New York,"[1747650]","[12703958]"
Sheridan,Wyoming,"[5825995]","[12703059]"
Delano,California,"[5826022]","[12700270]"
Whittier,California,"[15058820]","[12701910]"
Ludington,Michigan,"[5826151]","[12704774]"
Gainesville,Georgia,"[12981475]","[12700939]"
Hickory,North Carolina,"[5825962]","[12701686]"
Mankato,Minnesota,"[5826023]","[12704282]"
Florissant,Missouri,"[5826091]","[12705015]"
Plymouth,Wisconsin,"[1747627]","[12699982]"
Oviedo,Florida,"[15058093]","[12702462]"
Hoover,Alabama,"[5826146]","[13139227]"
Durango,Colorado,"[5826003]","[12704674]"
Anderson,South Carolina,"[11948064]","[12701083]"
